date,split,ubl_net_return,ubl_full_turnover,ubl_transaction_cost,selected_net_return,selected_full_turnover,selected_transaction_cost
2020-05-06,train,0.00240888477628,0.566430874652,0.000566430874652,0.00150656046771,0.508640935205,0.000508640935205
2020-05-07,train,-0.0003015953964,0.580424874907,0.000580424874907,2.60485462793e-05,0.524132175017,0.000524132175017
2020-05-08,train,-0.000990150178168,0.599262631538,0.000599262631538,-0.00099389880057,0.543237394977,0.000543237394977
2020-05-11,train,0.000544868318256,0.51833630654,0.00051833630654,0.000393866221851,0.495091602616,0.000495091602616
2020-05-12,train,0.000983701207202,0.562383142215,0.000562383142215,-0.000495874186999,0.501278332101,0.000501278332101
2020-05-13,train,-0.00370185200754,0.54040230524,0.00054040230524,-0.00367113436959,0.499262988918,0.000499262988918
2020-05-14,train,-0.003736647248,0.500488053496,0.000500488053496,-0.00348692045842,0.45217609811,0.00045217609811
2020-05-15,train,-0.000240986131818,0.567225367405,0.000567225367405,0.000528884964781,0.49726909417,0.00049726909417
2020-05-18,train,-0.0028493930426,0.533853053234,0.000533853053234,-0.00233700626667,0.458806185453,0.000458806185453
2020-05-19,train,-0.00445897924101,0.530397816515,0.000530397816515,-0.00509426667357,0.4695988085,0.0004695988085
2020-05-20,train,0.00205190177916,0.528553833905,0.000528553833905,0.0035995059442,0.421789196969,0.000421789196968
2020-05-21,train,0.000827129090034,0.548057385021,0.000548057385021,0.00291236784511,0.446406774788,0.000446406774788
2020-05-22,train,0.000453110399804,0.49929941803,0.00049929941803,0.00170828392015,0.414421636268,0.000414421636268
2020-05-25,train,0.00139423837281,0.554349248829,0.000554349248829,-1.0419911386e-05,0.467373536756,0.000467373536756
2020-05-26,train,-0.0028922694379,0.518588756471,0.000518588756471,-0.0028399722238,0.441847823956,0.000441847823956
2020-05-27,train,-0.00177148368437,0.484313216393,0.000484313216393,0.000761993315554,0.437577724173,0.000437577724173
2020-05-28,train,-9.57099993886e-05,0.574893024817,0.000574893024817,-0.00106721664578,0.496526850212,0.000496526850212
2020-05-29,train,0.0026815945733,0.601837290991,0.000601837290991,0.0010574393644,0.529338733002,0.000529338733002
2020-06-01,train,0.00319685084429,0.554371655907,0.000554371655907,0.00216943183927,0.495877529598,0.000495877529598
2020-06-02,train,0.00476918227772,0.573408375969,0.000573408375969,0.00390903696184,0.516390991259,0.000516390991259
2020-06-03,train,-0.00267407137866,0.601738947928,0.000601738947928,-0.00242660426533,0.542826053784,0.000542826053784
2020-06-04,train,0.00133677366959,0.561965643146,0.000561965643146,0.000987566505537,0.470101044004,0.000470101044004
2020-06-05,train,0.0047917972899,0.622257298323,0.000622257298323,0.00510766089565,0.523027098786,0.000523027098786
2020-06-08,train,-0.000472081870249,0.55850580867,0.00055850580867,1.12063694646e-05,0.473414510724,0.000473414510724
2020-06-09,train,0.000279465875252,0.504265110901,0.000504265110901,0.000331074769271,0.462706801172,0.000462706801172
2020-06-10,train,-0.000345672384696,0.53831626239,0.00053831626239,-0.00118793498287,0.475589074709,0.000475589074709
2020-06-11,train,-0.00274649832609,0.487806206207,0.000487806206207,-0.00268024052869,0.43176774313,0.00043176774313
2020-06-12,train,0.00125965424194,0.586897193018,0.000586897193018,0.000432921102597,0.519371385625,0.000519371385625
2020-06-15,train,0.00312634253129,0.562005419788,0.000562005419788,0.00222859100486,0.491987694117,0.000491987694117
2020-06-16,train,0.00127157119594,0.559942867995,0.000559942867995,0.0013216606353,0.487629089324,0.000487629089324
2020-06-17,train,0.00277824268655,0.56196030406,0.00056196030406,0.00326036592724,0.496432939166,0.000496432939166
2020-06-18,train,0.00523699400541,0.553866604481,0.000553866604481,0.00521441258715,0.497301476226,0.000497301476226
2020-06-19,train,0.00541513628116,0.563615902483,0.000563615902483,0.00437561987049,0.4919944758,0.0004919944758
2020-06-22,train,0.000232257926285,0.553480696813,0.000553480696813,0.000187621065152,0.505545891077,0.000505545891077
2020-06-23,train,-0.00132619944541,0.589739488137,0.000589739488137,-0.00119905867055,0.535912605511,0.000535912605511
2020-06-24,train,0.000454941448408,0.604258404076,0.000604258404076,0.000160624827369,0.536602378883,0.000536602378883
2020-06-29,train,-5.24437512746e-05,0.571341289401,0.000571341289401,-0.000934241512144,0.488948433482,0.000488948433482
2020-06-30,train,-0.000511177623021,0.553944997406,0.000553944997406,-0.000526157840855,0.46081432442,0.00046081432442
